,accommodates,price
799,4,175.0
800,2,120.0
801,6,542.0
802,2,70.0
803,2,120.0
804,2,70.0
805,2,114.0
806,2,75.0
807,3,55.0
808,2,88.0
809,2,85.0
810,2,98.0
811,3,150.0
812,2,85.0
813,2,150.0
814,6,250.0
815,2,40.0
816,4,200.0
817,4,200.0
818,2,150.0
819,2,199.0
820,2,93.0
821,4,140.0
822,2,92.0
823,4,199.0
824,2,85.0
825,2,80.0
826,2,125.0
827,2,110.0
828,2,99.0
829,2,69.0
830,9,385.0
831,2,99.0
832,2,115.0
833,4,275.0
834,8,250.0
835,4,325.0
836,2,169.0
837,4,195.0
838,2,149.0
839,2,145.0
840,4,124.0
841,4,180.0
842,2,183.0
843,2,95.0
844,2,70.0
845,3,105.0
846,6,58.0
847,4,75.0
848,2,110.0
849,2,100.0
850,2,110.0
851,4,160.0
852,4,199.0
853,4,250.0
854,6,220.0
855,2,300.0
856,4,130.0
857,4,250.0
858,4,295.0
859,4,120.0
860,4,125.0
861,2,160.0
862,2,88.0
863,2,80.0
864,2,120.0
865,4,147.0
866,2,150.0
867,2,80.0
868,4,229.0
869,4,180.0
870,2,125.0
871,4,140.0
872,2,74.0
873,4,185.0
874,2,122.0
875,2,125.0
876,1,45.0
877,4,250.0
878,2,99.0
879,5,200.0
880,6,263.0
881,2,66.0
882,4,140.0
883,3,120.0
884,2,200.0
885,4,154.0
886,4,175.0
887,2,150.0
888,2,120.0
889,4,80.0
890,3,130.0
891,4,230.0
892,2,130.0
893,3,110.0
894,4,259.0
895,2,95.0
896,4,90.0
897,2,88.0
898,4,225.0
899,4,130.0
900,4,175.0
901,2,135.0
902,2,110.0
903,4,275.0
904,2,69.0
905,2,74.0
906,1,38.0
907,4,415.0
908,6,475.0
909,6,480.0
910,4,160.0
911,7,650.0
912,2,160.0
913,2,139.0
914,4,415.0
915,4,299.0
916,6,295.0
917,2,65.0
918,4,140.0
919,4,225.0
920,4,180.0
921,2,119.0
922,2,88.0
923,2,100.0
924,2,79.0
925,2,125.0
926,2,139.0
927,4,225.0
928,3,250.0
929,4,380.0
930,2,99.0
931,4,199.0
932,4,220.0
933,2,110.0
934,2,150.0
935,2,75.0
936,4,200.0
937,4,200.0
938,2,60.0
939,2,90.0
940,4,200.0
941,4,220.0
942,4,140.0
943,2,90.0
944,4,153.0
945,2,98.0
946,2,210.0
947,3,89.0
948,2,79.0
949,3,100.0
950,3,98.0
951,2,89.0
952,2,125.0
953,2,109.0
954,2,60.0
955,4,170.0
956,2,60.0
957,4,149.0
958,2,225.0
959,4,199.0
960,3,199.0
961,2,149.0
962,2,230.0
963,2,115.0
964,4,135.0
965,4,295.0
966,6,400.0
967,2,100.0
968,2,98.0
969,2,140.0
970,2,94.0
971,4,180.0
972,4,150.0
973,2,110.0
974,2,125.0
975,3,99.0
976,4,120.0
977,5,160.0
978,4,109.0
979,8,300.0
980,4,130.0
981,3,150.0
982,4,150.0
983,4,285.0
984,4,200.0
985,3,125.0
986,3,125.0
987,3,200.0
988,5,149.0
989,2,77.0
990,1,65.0
991,4,395.0
992,4,185.0
993,2,150.0
994,4,125.0
995,2,123.0
996,1,79.0
997,2,85.0
998,2,99.0
999,2,95.0
1000,4,135.0
1001,5,295.0
1002,4,200.0
1003,2,90.0
1004,2,75.0
1005,4,86.0
1006,4,350.0
1007,2,129.0
1008,4,120.0
1009,3,140.0
1010,4,100.0
1011,3,135.0
1012,3,75.0
1013,4,150.0
1014,2,95.0
1015,3,150.0
1016,2,150.0
1017,3,170.0
1018,3,139.0
1019,1,109.0
1020,2,74.0
1021,7,191.0
1022,2,99.0
1023,4,77.0
1024,2,160.0
1025,2,75.0
1026,2,170.0
1027,2,85.0
1028,4,199.0
1029,2,179.0
