,id,neighbourhood,gebied,gemiddelde WOZ-waarde
493,5656694,Watergraafsmeer,M Oost,459254
494,5666746,IJburg - Zeeburgereiland,M Oost,459254
495,5680250,Oud-Oost,M Oost,459254
496,5683158,Oud-Oost,M Oost,459254
497,5706436,Watergraafsmeer,M Oost,459254
498,5708418,Oud-Oost,M Oost,459254
499,5717553,Oostelijk Havengebied - Indische Buurt,M Oost,459254
500,5722615,Oud-Oost,M Oost,459254
501,5733319,Oud-Oost,M Oost,459254
502,5741543,Oud-Oost,M Oost,459254
503,5741919,IJburg - Zeeburgereiland,M Oost,459254
504,5775974,Oud-Oost,M Oost,459254
505,5801757,Oud-Oost,M Oost,459254
506,5809024,IJburg - Zeeburgereiland,M Oost,459254
507,5821967,Watergraafsmeer,M Oost,459254
508,5836389,IJburg - Zeeburgereiland,M Oost,459254
509,5856501,Oud-Oost,M Oost,459254
510,5869943,Oostelijk Havengebied - Indische Buurt,M Oost,459254
511,5872804,IJburg - Zeeburgereiland,M Oost,459254
512,5875754,Watergraafsmeer,M Oost,459254
513,5881871,Watergraafsmeer,M Oost,459254
514,5882457,Oud-Oost,M Oost,459254
515,5899241,Oud-Oost,M Oost,459254
516,5916679,Oud-Oost,M Oost,459254
